ensembl_gene_id,gene_id
ENSG00000013588,9052.0
ENSG00000013619,10046.0
ENSG00000013725,923.0
ENSG00000013810,10460.0
ENSG00000014123,23376.0
ENSG00000014138,23649.0
ENSG00000014164,23144.0
ENSG00000014216,823.0
ENSG00000014257,55.0
ENSG00000014641,4190.0
ENSG00000014824,10463.0
ENSG00000014914,10903.0
ENSG00000014919,1355.0
ENSG00000015133,440193.0
ENSG00000015153,10138.0
ENSG00000015171,10771.0
ENSG00000015285,7454.0
ENSG00000015413,1800.0
ENSG00000015475,637.0
ENSG00000015479,9782.0
ENSG00000015520,29881.0
ENSG00000015532,64132.0
ENSG00000015568,729540.0
ENSG00000015568,84220.0
ENSG00000015592,81551.0
ENSG00000015676,23386.0
ENSG00000016082,3670.0
ENSG00000016391,55349.0
ENSG00000016402,53832.0
ENSG00000016490,1179.0
ENSG00000016602,22802.0
ENSG00000016864,55830.0
ENSG00000017260,27032.0
ENSG00000017427,3479.0
ENSG00000017483,92745.0
ENSG00000017797,10928.0
ENSG00000018189,22902.0
ENSG00000018236,1272.0
ENSG00000018280,6556.0
ENSG00000018408,25937.0
ENSG00000018510,8540.0
ENSG00000018610,63932.0
ENSG00000018625,477.0
ENSG00000018699,55622.0
ENSG00000018869,147948.0
ENSG00000019102,23584.0
ENSG00000019144,23187.0
ENSG00000019169,8685.0
ENSG00000019186,1591.0
ENSG00000019485,56981.0
ENSG00000019505,57586.0
ENSG00000019549,6591.0
ENSG00000019582,972.0
ENSG00000019991,3082.0
ENSG00000019995,54764.0
ENSG00000020129,23154.0
ENSG00000020181,25960.0
ENSG00000020256,55734.0
ENSG00000020426,4331.0
ENSG00000020577,23034.0
ENSG00000020633,864.0
ENSG00000020922,4361.0
ENSG00000021300,58473.0
ENSG00000021355,1992.0
ENSG00000021461,64816.0
ENSG00000021488,11136.0
ENSG00000021574,6683.0
ENSG00000021645,9369.0
ENSG00000021762,114879.0
ENSG00000021776,9716.0
ENSG00000021826,1373.0
ENSG00000021852,732.0
ENSG00000022267,2273.0
ENSG00000022277,51507.0
ENSG00000022355,2554.0
ENSG00000022556,55655.0
ENSG00000022567,57210.0
ENSG00000022840,9921.0
ENSG00000022976,55778.0
ENSG00000023041,64429.0
ENSG00000023171,57476.0
ENSG00000023191,6050.0
ENSG00000023228,4719.0
ENSG00000023287,9821.0
ENSG00000023318,23071.0
ENSG00000023330,211.0
ENSG00000023445,330.0
ENSG00000023516,11215.0
ENSG00000023572,51022.0
ENSG00000023608,6617.0
ENSG00000023697,51071.0
ENSG00000023734,11171.0
ENSG00000023839,1244.0
ENSG00000023892,50619.0
ENSG00000023902,51177.0
ENSG00000023909,2730.0
ENSG00000024048,23304.0
ENSG00000024422,30846.0
ENSG00000024526,55635.0
ENSG00000024862,25901.0
ENSG00000025039,58528.0
ENSG00000025156,3298.0
ENSG00000025293,51230.0
ENSG00000025423,8630.0
ENSG00000025434,10062.0
ENSG00000025708,1890.0
ENSG00000025770,29781.0
ENSG00000025772,10953.0
ENSG00000025796,11231.0
ENSG00000025800,23633.0
ENSG00000026025,7431.0
ENSG00000026103,355.0
ENSG00000026297,8635.0
ENSG00000026508,960.0
ENSG00000026559,3755.0
ENSG00000026652,56895.0
ENSG00000026751,57823.0
ENSG00000026950,11119.0
ENSG00000027001,4285.0
ENSG00000027075,5583.0
ENSG00000027644,3645.0
ENSG00000027697,3459.0
ENSG00000027847,11285.0
ENSG00000027869,9047.0
ENSG00000028116,7444.0
ENSG00000028137,7133.0
ENSG00000028203,55591.0
ENSG00000028277,5452.0
ENSG00000028310,65980.0
ENSG00000028528,6642.0
ENSG00000028839,9519.0
ENSG00000029153,56938.0
ENSG00000029363,9774.0
ENSG00000029364,55334.0
ENSG00000029534,286.0
ENSG00000029559,3381.0
ENSG00000029639,51106.0
